slide	duration	text
00-brain-agent-map	14.1	We begin with corresponding areas of the brain whose functions resemble agentic AI: coordination for the orchestrator, specialised processing for workers, and memory for stored experience.
01-overview	17.2	Before zooming into each part, the module explains these functions and highlights the backend of trustworthiness, explanation, interpretation, reasoning, forgetting, and the vision, language, NLP, omics and biology workers.
01b-brain-orchestrator	7.6	The orchestrator resembles control networks coordinating goals, conflict, and routing.
01c-orchestrator	8.8	In the agent, the orchestrator parses input, recognises the task, selects workers, and monitors the run.
01d-worker	8.3	Each worker receives inputs, runs a specialised model or tool, and returns outputs with reasoning traces.
01e-brain-omics	9.8	For omics, sequence analysis, mathematics, and biology, the worker integrates quantitative and semantic knowledge.
02a-brain-nlp	7.6	The NLP worker mirrors language networks that parse instructions and generate explanations.
02b-brain-vision	7.3	The vision worker maps to visual cortex, extracting patterns from images and scans.
02c-brain-explanation	6.4	The explanation worker turns evidence and model behaviour into a readable narrative.
02d-brain-memory	6.9	The memory worker stores useful traces and retrieves prior cases for continual learning.
03b-brain-reasoning	8.6	The reasoning worker holds intermediate states, compares hypotheses, and chooses justified next steps.
04-trust	11.8	Trust requires validity checks, functionality tests, uncertainty estimates, attributional explainability, and mechanistic interpretation.
05-forgetting	7.4	When a worker keeps learning, new tasks can damage old skills: catastrophic forgetting.
06-mitigation	9.1	Mitigation uses replay, regularisation, adapters, monitoring, drift tests, and memory-aware learning.
08-agent-architecture	9.8	Together, brain-inspired workers form an agentic architecture linked to L205 neuroscience and biomedicine.
